# 貫/ほぞ等 復元力特性データ
# 名称,変形角(rad),耐力Q(kN),heq(任意),基準壁高(m)
"通し貫(24×120：3段,仕口6か所分耐力)",0.016666667,2.25,,2.73
"通し貫(24×120：3段,仕口6か所分耐力)",0.033333333,3,,2.73
"通し貫(24×120：3段,仕口6か所分耐力)",0.066666667,3,,2.73
"通し貫(15×105：3段,仕口6か所分耐力)",0.033333333,1.2,,2.73
"通し貫(15×105：3段,仕口6か所分耐力)",0.066666667,1.8,,2.73
"長ほぞ(30×90×120：込栓あり,柱上下4か所分)",0.008333333,1,,2.73
"長ほぞ(30×90×120：込栓あり,柱上下4か所分)",0.016666667,1.5,,2.73
"長ほぞ(30×90×120：込栓あり,柱上下4か所分)",0.066666667,1.5,,2.73
"長ほぞ(30×90×60：込栓なし,柱上下4か所分)",0.008333333,0.3,,2.73
"長ほぞ(30×90×60：込栓なし,柱上下4か所分)",0.016666667,0.5,,2.73
"長ほぞ(30×90×60：込栓なし,柱上下4か所分)",0.066666667,0.5,,2.73
"方杖(120mm角材,1対設置,柱長ほぞ4か所分耐力含)",0.008333333,1.5,,2.73
"方杖(120mm角材,1対設置,柱長ほぞ4か所分耐力含)",0.033333333,4,,2.73
"方杖(120mm角材,1対設置,柱長ほぞ4か所分耐力含)",0.066666667,4,,2.73
